id,screenName,text,created,isRetweet,retweetCount,type
868566404286513200,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/PjSk5fMgak",2017-05-27T20:35:42Z,FALSE,0,change
868566235621052400,Alcira,"@panamacrioffsho SI,TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:35:02Z,FALSE,0,change
868566181510336500,Alcira,"SI,TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO A… https://t.co/1aHiZ4cWYR",2017-05-27T20:34:49Z,FALSE,0,change
868565782522941400,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/KsmncyGWSA",2017-05-27T20:33:14Z,FALSE,0,change
868565593422692400,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:32:29Z,FALSE,0,change
868565544387170300,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/H4AdFYyrdB",2017-05-27T20:32:17Z,FALSE,0,change
868565340036399100,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:31:28Z,FALSE,0,change
868565287116955600,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/btvKxGgGMk",2017-05-27T20:31:16Z,FALSE,0,change
868565144795828200,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:30:42Z,FALSE,0,change
8.6856509829768806e+17,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/GpZzWB6pAx",2017-05-27T20:30:31Z,FALSE,0,change
868565015422541800,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:30:11Z,FALSE,0,change
868564971805978600,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/Onkfgon1Ud",2017-05-27T20:30:01Z,FALSE,0,change
868564918634766300,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:29:48Z,FALSE,0,change
868564879501819900,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/j4eBRB40Kg",2017-05-27T20:29:39Z,FALSE,0,change
868564788183486500,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:29:17Z,FALSE,0,change
868564725638017e3,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/P1LNg4rrag",2017-05-27T20:29:02Z,FALSE,0,change
868564657883279400,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/LaAIvLIruM",2017-05-27T20:28:46Z,FALSE,0,change
